scope,source,quality,model,bitrate_kbps,psnr_y,psnr_yuv,psnr_rgb,ms_ssim_rgb,mse_rgb
aggregate,all,1,ssf2020-mse-1-entropy-estimation,128.45747514204544,29.55303955078125,32.439093589782715,28.94842529296875,0.952402263879776,83.3358383178711
aggregate,all,2,ssf2020-mse-2-entropy-estimation,190.3109634506119,30.850343704223633,33.609683990478516,30.196303367614746,0.9631543159484863,63.16250228881836
aggregate,all,3,ssf2020-mse-3-entropy-estimation,296.4284885036838,32.58269691467285,35.149436950683594,31.831483840942383,0.9722685217857361,43.104806900024414
aggregate,all,4,ssf2020-mse-4-entropy-estimation,403.8752458479021,34.219295501708984,36.5508975982666,33.536272048950195,0.97977215051651,29.430177688598633
sequence,foreman_cif_352x288_29.97fps_8bit_P420,1,foreman_cif_352x288_29.97fps_8bit_P420-ssf2020-mse-1-entropy-estimation,146.6177621206918,29.723880767822266,33.02849578857422,29.27127456665039,0.952404260635376,77.14502716064453
sequence,foreman_cif_352x288_29.97fps_8bit_P420,2,foreman_cif_352x288_29.97fps_8bit_P420-ssf2020-mse-2-entropy-estimation,220.58893255182318,31.284637451171875,34.436912536621094,30.778989791870117,0.9638363122940063,54.49645233154297
sequence,foreman_cif_352x288_29.97fps_8bit_P420,3,foreman_cif_352x288_29.97fps_8bit_P420-ssf2020-mse-3-entropy-estimation,345.0296480862887,32.800411224365234,35.87609100341797,32.25446319580078,0.972211480140686,38.74384689331055
sequence,foreman_cif_352x288_29.97fps_8bit_P420,4,foreman_cif_352x288_29.97fps_8bit_P420-ssf2020-mse-4-entropy-estimation,501.92091112012986,34.52891540527344,37.50872802734375,33.959754943847656,0.9794262051582336,26.155288696289062
sequence,news_cif_352x288_29.97fps_8bit_P420,1,news_cif_352x288_29.97fps_8bit_P420-ssf2020-mse-1-entropy-estimation,110.2971881633991,29.382198333740234,31.84969139099121,28.62557601928711,0.952400267124176,89.52664947509766
sequence,news_cif_352x288_29.97fps_8bit_P420,2,news_cif_352x288_29.97fps_8bit_P420-ssf2020-mse-2-entropy-estimation,160.0329943494006,30.41604995727539,32.78245544433594,29.613616943359375,0.9624723196029663,71.82855224609375
sequence,news_cif_352x288_29.97fps_8bit_P420,3,news_cif_352x288_29.97fps_8bit_P420-ssf2020-mse-3-entropy-estimation,247.8273289210789,32.36498260498047,34.42278289794922,31.408504486083984,0.9723255634307861,47.46576690673828
sequence,news_cif_352x288_29.97fps_8bit_P420,4,news_cif_352x288_29.97fps_8bit_P420-ssf2020-mse-4-entropy-estimation,305.8295805756743,33.90967559814453,35.59306716918945,33.112789154052734,0.9801180958747864,32.7050666809082
